Date,Store_ID,Product_Category,Price,Discount,Advertising_Spend,Holiday,Temperature,Competitor_Price,Units_Sold
2022-01-31,S08,Clothing,463.63,15,1497.72,0,29.5,485.0,19
2022-02-01,S06,Electronics,99.0,5,4846.68,0,26.2,99.84,37
2022-02-02,S03,Electronics,29.82,15,2563.97,0,33.9,27.78,24
2022-02-03,S10,Clothing,299.54,25,4322.91,0,21.3,326.0,21
2022-02-04,S04,Groceries,291.56,0,3134.97,0,21.7,296.44,29
2022-02-05,S02,Electronics,123.15,15,741.3,0,28.1,122.1,12
2022-02-06,S02,Clothing,231.85,20,4980.87,0,12.1,218.55,28
2022-02-07,S09,Electronics,187.92,5,2247.1,0,25.2,180.5,42
2022-02-08,S02,Sports,335.59,20,1566.96,0,28.6,365.05,14
2022-02-09,S05,Sports,81.95,10,3063.67,0,30.1,77.09,32
2022-02-10,S05,Clothing,246.82,0,552.26,0,21.9,235.8,36
2022-02-11,S03,Sports,371.91,20,3557.77,0,25.7,343.04,22
2022-02-12,S01,Groceries,22.83,10,2954.3,0,14.1,21.13,25
2022-02-13,S07,Sports,108.99,5,3367.97,0,19.9,110.3,46
2022-02-14,S06,Furniture,375.99,5,4336.57,0,37.3,399.36,42
2022-02-15,S02,Furniture,402.11,25,4072.67,0,17.5,425.22,19
2022-02-16,S04,Clothing,436.72,15,1189.93,0,32.9,433.25,12
2022-02-17,S05,Groceries,16.71,5,2052.48,0,17.8,15.27,38
2022-02-18,S05,Clothing,322.53,15,3429.64,0,33.6,311.64,37
2022-02-19,S06,Furniture,292.39,10,287.46,0,26.7,283.37,18
2022-02-20,S09,Sports,305.07,20,666.66,0,35.2,286.16,13
2022-02-21,S06,Sports,344.99,25,3711.48,0,15.5,340.25,20
2022-02-22,S05,Sports,160.39,0,3626.8,0,18.4,154.27,38
2022-02-23,S03,Sports,68.01,15,3358.15,0,20.6,71.39,29
2022-02-24,S06,Furniture,286.71,15,2784.89,0,10.0,274.49,17
2022-02-25,S03,Electronics,223.68,25,1147.14,0,23.2,241.63,8
2022-02-26,S04,Clothing,145.47,25,3201.41,0,19.4,154.73,16
2022-02-27,S02,Furniture,77.94,0,1299.73,0,23.3,83.39,24
2022-02-28,S01,Electronics,210.15,25,2920.79,0,30.1,205.27,12
2022-03-01,S01,Sports,390.32,5,961.84,0,36.8,391.72,26
2022-03-02,S08,Sports,128.35,0,2336.66,0,32.4,132.65,43
2022-03-03,S03,Furniture,408.43,20,2191.03,0,35.4,404.01,15
2022-03-04,S08,Electronics,227.78,5,4215.33,0,17.8,240.43,37
2022-03-05,S03,Clothing,358.2,5,1431.4,0,19.0,361.08,27
2022-03-06,S01,Clothing,119.47,25,848.75,0,16.0,117.44,1
2022-03-07,S10,Furniture,417.28,15,4533.71,0,26.4,433.6,37
2022-03-08,S09,Sports,241.1,10,1563.2,0,20.9,259.98,26
2022-03-09,S06,Furniture,449.42,15,1175.17,0,22.2,407.09,10
2022-03-10,S01,Electronics,363.47,15,4605.75,0,37.5,365.95,38
2022-03-11,S06,Clothing,323.16,5,4347.57,0,15.1,307.66,38
2022-03-12,S02,Furniture,230.08,10,3830.03,0,20.6,241.68,36
2022-03-13,S02,Electronics,14.59,20,355.22,0,36.7,13.79,3
2022-03-14,S10,Clothing,378.35,5,1076.87,0,10.6,352.05,30
2022-03-15,S02,Clothing,235.19,10,3857.8,0,14.7,240.23,39
2022-03-16,S04,Electronics,482.54,0,2935.56,0,36.0,489.85,43
2022-03-17,S10,Electronics,298.09,25,1289.96,0,29.5,286.26,3
2022-03-18,S06,Electronics,399.13,20,3934.91,0,19.7,393.41,20
2022-03-19,S08,Clothing,425.54,15,617.14,0,36.9,437.08,17
2022-03-20,S08,Furniture,220.57,25,2656.56,0,28.2,225.68,20
2022-03-21,S02,Groceries,413.74,20,1415.14,0,33.8,441.11,7
2022-03-22,S06,Clothing,441.41,5,3777.33,0,26.0,456.26,35
2022-03-23,S05,Sports,246.34,10,4009.38,0,19.5,265.08,40
2022-03-24,S08,Furniture,10.02,5,519.5,0,30.2,10.0,22
2022-03-25,S10,Groceries,397.5,0,1541.75,0,21.3,377.09,25
2022-03-26,S05,Groceries,239.26,20,1784.41,0,37.9,241.67,10
2022-03-27,S03,Clothing,119.12,25,1043.66,0,13.3,119.97,9
2022-03-28,S04,Groceries,112.11,15,1454.85,0,26.5,117.94,5
2022-03-29,S01,Electronics,117.6,5,1581.11,0,29.8,108.82,19
2022-03-30,S05,Furniture,278.91,25,4726.04,0,27.9,293.01,24
2022-03-31,S08,Electronics,241.96,10,1003.38,0,11.4,263.3,20
2022-04-01,S05,Electronics,411.95,15,2509.56,0,26.2,427.31,27
2022-04-02,S10,Clothing,496.99,0,2834.56,0,21.7,506.54,46
2022-04-03,S10,Electronics,388.97,15,2307.52,0,22.4,416.99,25
2022-04-04,S05,Electronics,306.77,25,586.24,0,31.4,314.47,2
2022-04-05,S01,Clothing,82.74,5,2804.76,0,14.4,81.23,31
2022-04-06,S05,Sports,147.61,10,3544.64,0,22.7,153.14,27
2022-04-07,S02,Electronics,332.29,5,2183.18,0,25.2,342.1,38
2022-04-08,S08,Electronics,87.13,10,3015.72,0,33.1,94.47,24
2022-04-09,S01,Furniture,237.01,10,3528.7,0,36.4,237.03,30
2022-04-10,S10,Sports,368.59,20,1326.8,0,12.6,402.64,11
2022-04-11,S08,Groceries,475.64,25,4124.96,0,26.1,500.67,23
2022-04-12,S08,Groceries,94.84,20,2235.84,0,32.8,103.74,21
2022-04-13,S07,Sports,207.13,10,3383.65,0,34.0,200.08,30
2022-04-14,S07,Sports,23.17,0,1641.13,0,19.1,25.35,29
2022-04-15,S08,Furniture,413.34,0,3322.54,0,25.2,406.17,43
2022-04-16,S08,Electronics,381.2,5,1408.58,0,13.7,365.04,31
2022-04-17,S02,Clothing,19.29,25,3083.47,0,16.7,17.97,9
2022-04-18,S08,Groceries,496.17,0,2361.09,0,13.3,529.13,34
2022-04-19,S04,Sports,256.89,10,2135.9,0,23.5,255.46,22
2022-04-20,S07,Groceries,256.58,5,4333.73,0,17.7,271.46,42
2022-04-21,S08,Clothing,467.45,20,1409.15,0,10.1,488.58,15
2022-04-22,S08,Groceries,226.04,15,1791.11,0,25.5,228.0,13
2022-04-23,S08,Furniture,435.45,25,1270.15,0,20.7,466.46,2
2022-04-24,S01,Clothing,196.11,25,3982.73,0,28.3,182.46,22
2022-04-25,S01,Clothing,253.63,20,1726.77,0,12.8,271.13,22
2022-04-26,S05,Groceries,207.94,25,4852.79,0,12.1,219.65,30
2022-04-27,S06,Furniture,313.51,15,3284.2,0,33.8,335.6,29
2022-04-28,S05,Clothing,436.83,0,3125.55,0,16.6,452.94,36
2022-04-29,S05,Electronics,374.65,15,4893.85,0,31.3,389.93,36
2022-04-30,S09,Furniture,27.77,0,1537.5,0,20.5,25.8,34
2022-05-01,S10,Clothing,285.13,5,932.92,0,12.2,306.28,21
2022-05-02,S08,Groceries,119.93,25,1344.49,0,17.1,108.16,4
2022-05-03,S05,Furniture,340.42,5,461.92,0,36.5,373.62,18
2022-05-04,S07,Sports,423.43,5,4996.93,0,33.9,390.12,57
2022-05-05,S10,Electronics,182.68,10,4964.19,0,18.3,200.14,37
2022-05-06,S04,Sports,455.76,25,2533.96,0,35.3,436.27,9
2022-05-07,S03,Electronics,401.96,5,3219.43,0,27.4,416.25,34
2022-05-08,S06,Clothing,452.18,25,293.17,0,32.1,409.98,1
2022-05-09,S06,Sports,49.62,10,1700.92,0,21.6,46.65,25
2022-05-10,S08,Groceries,253.39,10,4169.32,0,17.2,269.84,25
2022-05-11,S07,Sports,374.55,10,4040.74,0,23.1,342.74,35
2022-05-12,S05,Sports,186.06,15,168.2,0,25.0,184.38,7
2022-05-13,S09,Groceries,193.61,25,4707.43,0,13.0,183.3,33
2022-05-14,S05,Furniture,458.05,5,3273.5,0,27.8,454.78,37
2022-05-15,S03,Furniture,62.75,0,4736.68,0,18.5,62.66,57
2022-05-16,S10,Clothing,229.55,25,4751.97,0,29.5,231.4,29
2022-05-17,S06,Clothing,443.28,25,585.21,0,23.7,435.13,4
2022-05-18,S09,Groceries,224.47,5,4291.71,0,12.8,232.81,41
2022-05-19,S10,Electronics,34.97,10,1030.06,0,13.4,37.4,13
2022-05-20,S02,Sports,30.04,10,1293.49,0,13.5,30.43,23
2022-05-21,S05,Clothing,107.54,5,4083.96,0,16.5,113.44,42
2022-05-22,S01,Clothing,493.83,20,1328.21,0,14.9,509.74,5
2022-05-23,S02,Electronics,12.36,5,2985.38,0,10.4,11.78,38
2022-05-24,S10,Electronics,240.74,10,2614.87,0,13.1,240.92,31
2022-05-25,S07,Furniture,364.99,25,2655.11,0,22.8,398.86,18
2022-05-26,S06,Sports,344.62,15,3590.77,0,22.4,372.14,30
2022-05-27,S09,Groceries,78.43,5,1447.58,0,27.7,79.19,19
2022-05-28,S09,Clothing,229.59,20,2207.98,0,32.2,211.88,30
2022-05-29,S06,Groceries,217.88,5,2127.69,0,33.2,213.47,30
2022-05-30,S02,Electronics,190.28,5,3465.42,0,23.3,174.72,33
2022-05-31,S06,Electronics,218.78,25,3720.1,0,32.7,221.25,13
2022-06-01,S01,Groceries,208.35,25,4711.54,0,21.8,225.68,20
2022-06-02,S06,Sports,302.2,10,607.64,0,24.2,281.33,8
2022-06-03,S10,Sports,186.94,10,2913.09,0,32.6,199.84,30
2022-06-04,S05,Groceries,339.11,20,228.64,0,36.0,361.45,5
2022-06-05,S03,Electronics,178.76,5,4362.33,0,25.9,175.21,44
2022-06-06,S10,Sports,50.42,20,1154.15,0,21.8,48.82,5
2022-06-07,S02,Groceries,47.05,0,862.34,0,31.1,42.81,35
2022-06-08,S07,Electronics,224.34,15,2479.74,0,22.4,214.16,22
2022-06-09,S04,Furniture,145.21,25,3006.36,0,24.8,139.65,12
2022-06-10,S06,Electronics,492.3,0,137.67,0,18.4,463.87,28
2022-06-11,S04,Sports,8.83,25,2210.21,0,13.6,8.89,13
2022-06-12,S02,Groceries,281.57,25,4050.38,0,12.0,301.94,21
2022-06-13,S07,Electronics,290.0,20,2081.67,0,27.9,277.79,15
2022-06-14,S02,Clothing,483.27,5,4026.48,0,27.3,515.36,42
2022-06-15,S06,Clothing,220.66,15,2667.42,0,21.1,212.29,22
2022-06-16,S06,Clothing,169.87,5,474.26,0,27.7,170.91,25
2022-06-17,S02,Clothing,121.95,5,1354.24,0,14.9,113.48,34
2022-06-18,S10,Sports,475.89,25,2521.17,0,31.1,500.62,1
2022-06-19,S05,Groceries,164.99,25,1649.08,0,22.3,163.96,11
2022-06-20,S02,Electronics,297.75,10,2585.95,0,18.7,294.89,36
2022-06-21,S01,Furniture,309.43,20,1983.96,0,26.2,337.54,18
2022-06-22,S02,Groceries,454.98,20,3294.0,0,19.0,452.76,22
2022-06-23,S08,Furniture,491.28,0,2572.29,0,14.8,466.49,39
2022-06-24,S10,Electronics,264.41,20,877.86,0,20.4,252.93,5
2022-06-25,S07,Groceries,395.67,25,1739.78,0,19.2,400.26,11
2022-06-26,S06,Groceries,129.74,25,4825.61,0,26.9,120.67,30
2022-06-27,S02,Groceries,484.01,25,3344.46,0,13.6,504.23,20
2022-06-28,S09,Electronics,281.67,25,3979.14,0,32.8,291.25,23
2022-06-29,S04,Groceries,324.78,15,2591.59,0,10.5,312.36,15
2022-06-30,S09,Sports,474.1,15,1040.83,0,38.0,441.38,12
2022-07-01,S03,Sports,418.38,20,284.96,0,19.4,440.66,14
2022-07-02,S01,Furniture,191.48,5,986.15,0,29.4,196.26,31
2022-07-03,S08,Clothing,185.33,25,1263.9,0,22.4,177.36,1
2022-07-04,S10,Furniture,269.34,10,4831.42,0,32.0,291.1,41
2022-07-05,S03,Clothing,233.53,10,3912.81,0,24.1,229.73,41
2022-07-06,S09,Electronics,401.62,5,4377.71,0,11.5,400.06,33
2022-07-07,S07,Electronics,146.11,5,1436.68,0,35.3,135.8,35
2022-07-08,S06,Clothing,473.47,5,4101.85,0,34.8,514.23,36
2022-07-09,S06,Clothing,196.15,0,1937.07,0,10.8,213.05,37
2022-07-10,S10,Electronics,73.11,10,4595.24,0,23.2,77.95,38
2022-07-11,S10,Sports,453.4,0,1354.03,0,33.4,457.83,26
2022-07-12,S02,Electronics,214.51,10,1264.44,0,13.4,203.29,16
2022-07-13,S04,Clothing,419.16,15,3024.02,0,10.5,420.45,19
2022-07-14,S06,Electronics,149.18,0,3112.57,0,16.7,146.69,39
2022-07-15,S07,Furniture,476.93,20,2585.91,0,37.7,482.1,16
2022-07-16,S02,Sports,26.55,15,4907.09,0,17.1,23.98,35
2022-07-17,S03,Furniture,368.92,10,753.71,0,19.9,357.01,14
2022-07-18,S05,Clothing,490.51,15,3195.51,0,32.7,447.65,26
2022-07-19,S07,Sports,26.68,5,4440.37,0,18.8,25.67,36
2022-07-20,S06,Groceries,239.33,0,3791.13,0,15.4,232.48,45
2022-07-21,S07,Groceries,66.62,10,2241.06,0,21.2,65.82,16
2022-07-22,S07,Electronics,486.99,15,3491.14,0,20.3,515.95,27
2022-07-23,S05,Groceries,218.15,5,2772.82,0,19.0,199.83,35
2022-07-24,S06,Sports,225.73,25,2187.97,0,29.3,219.03,20
2022-07-25,S07,Groceries,499.08,10,3233.4,0,32.2,454.9,33
2022-07-26,S01,Clothing,258.98,25,3429.11,0,36.7,240.48,10
2022-07-27,S10,Clothing,38.28,25,1895.01,0,20.7,38.79,4
2022-07-28,S05,Clothing,341.14,10,1922.87,0,31.4,346.18,19
2022-07-29,S09,Electronics,480.46,0,3704.81,0,24.0,469.6,42
2022-07-30,S04,Electronics,134.58,10,3549.79,0,16.0,137.59,26
2022-07-31,S02,Groceries,72.19,0,2315.01,0,35.2,71.4,19
2022-08-01,S03,Groceries,335.58,25,418.2,0,25.2,361.84,6
2022-08-02,S08,Electronics,256.83,0,4927.15,0,32.2,243.31,43
2022-08-03,S05,Furniture,183.64,20,1907.66,0,32.5,185.54,12
2022-08-04,S10,Electronics,499.8,25,2445.46,0,21.5,490.75,10
2022-08-05,S09,Sports,67.04,10,3247.46,0,22.6,69.45,25
2022-08-06,S02,Sports,95.07,5,2219.83,0,35.5,86.62,39
2022-08-07,S05,Electronics,80.74,5,893.64,0,36.2,76.31,30
2022-08-08,S10,Sports,129.05,25,4786.12,0,17.7,132.28,21
2022-08-09,S10,Groceries,51.25,25,926.32,0,36.4,47.71,1
2022-08-10,S10,Groceries,422.05,20,301.85,0,34.2,386.7,1
2022-08-11,S05,Furniture,327.31,20,2141.28,0,27.9,327.18,12
2022-08-12,S03,Furniture,126.21,25,2089.85,0,22.7,130.97,7
2022-08-13,S06,Furniture,210.73,15,1099.71,0,27.0,202.83,13
2022-08-14,S02,Groceries,69.73,10,2623.4,0,13.0,66.13,20
2022-08-15,S03,Groceries,227.55,5,574.38,0,18.1,222.28,20
2022-08-16,S09,Furniture,467.21,25,1632.3,0,31.4,467.05,5
2022-08-17,S10,Groceries,251.89,10,2537.11,0,12.5,246.51,24
2022-08-18,S08,Groceries,29.09,10,2524.98,0,34.7,29.99,28
2022-08-19,S07,Electronics,270.66,0,2211.55,0,34.7,282.98,36
2022-08-20,S08,Sports,287.29,5,1876.37,0,18.1,280.76,24
2022-08-21,S06,Sports,143.46,20,3433.95,0,13.3,157.09,15
2022-08-22,S01,Electronics,469.78,5,1075.38,0,24.3,469.79,30
2022-08-23,S10,Groceries,72.83,10,4039.43,0,24.5,67.72,37
2022-08-24,S09,Sports,85.44,20,3722.66,0,18.4,82.64,21
2022-08-25,S10,Groceries,247.47,20,1568.97,0,32.8,240.95,6
2022-08-26,S05,Sports,399.39,25,4373.29,0,27.6,407.13,9
2022-08-27,S07,Clothing,290.93,25,351.64,0,23.5,292.34,1
2022-08-28,S01,Furniture,411.72,5,254.7,0,36.5,379.6,12
2022-08-29,S01,Clothing,160.28,5,2123.5,0,15.7,160.34,26
2022-08-30,S06,Clothing,261.75,20,1692.74,0,28.5,263.08,9
2022-08-31,S05,Sports,232.53,20,1777.4,0,19.9,245.18,12
2022-09-01,S05,Groceries,244.67,5,1467.13,0,18.4,266.27,20
2022-09-02,S05,Groceries,353.93,25,3554.44,0,18.9,343.23,25
2022-09-03,S06,Clothing,65.33,25,2761.64,0,35.1,63.95,10
2022-09-04,S04,Clothing,148.77,10,4781.04,0,12.2,161.39,34
2022-09-05,S10,Sports,414.84,10,4671.82,0,29.5,384.75,31
2022-09-06,S08,Electronics,123.44,0,3382.19,0,24.9,126.85,46
2022-09-07,S07,Furniture,342.19,5,125.39,0,25.4,371.56,22
2022-09-08,S10,Clothing,241.34,5,3803.96,0,18.0,230.98,46
2022-09-09,S07,Clothing,269.9,25,4266.63,0,11.0,292.65,24
2022-09-10,S05,Electronics,467.29,0,4986.14,0,21.1,466.86,61
2022-09-11,S08,Sports,9.59,20,3053.64,0,36.0,9.27,15
2022-09-12,S08,Groceries,264.54,5,4270.19,0,23.1,248.29,43
2022-09-13,S04,Clothing,360.71,0,3709.43,0,32.1,365.6,45
2022-09-14,S03,Clothing,307.42,25,4495.51,0,33.2,308.36,28
2022-09-15,S05,Groceries,241.34,5,133.47,0,20.7,238.77,24
2022-09-16,S08,Groceries,154.46,25,2907.1,0,17.3,150.12,15
2022-09-17,S05,Electronics,84.06,25,2562.35,0,35.1,87.48,20
2022-09-18,S10,Groceries,321.16,10,1900.97,0,16.2,350.54,19
2022-09-19,S04,Clothing,210.84,20,4572.7,0,31.2,223.57,28
2022-09-20,S10,Electronics,341.77,20,4378.36,0,12.3,338.13,26
2022-09-21,S03,Groceries,35.57,20,4524.15,0,15.7,35.83,25
2022-09-22,S01,Furniture,427.97,15,669.58,0,15.8,435.09,18
2022-09-23,S05,Electronics,70.31,15,2338.31,0,11.6,69.78,24
2022-09-24,S01,Electronics,200.99,0,3754.44,0,26.2,182.71,42
2022-09-25,S07,Groceries,493.14,15,255.5,0,21.4,519.67,12
2022-09-26,S09,Clothing,496.46,15,2297.83,0,35.7,484.3,32
2022-09-27,S03,Clothing,328.5,10,681.3,0,37.8,321.47,24
2022-09-28,S04,Clothing,418.24,0,4894.6,0,23.0,436.57,45
2022-09-29,S02,Electronics,233.01,5,1450.68,0,36.2,243.5,29
2022-09-30,S10,Electronics,405.69,15,3113.12,0,36.2,437.26,25
2022-10-01,S07,Furniture,225.99,25,3546.1,0,11.4,236.86,19
2022-10-02,S10,Groceries,121.0,5,3796.49,0,31.7,112.29,42
2022-10-03,S09,Clothing,290.85,25,4110.07,0,16.6,312.74,20
2022-10-04,S07,Sports,209.71,10,398.69,0,36.6,225.64,22
2022-10-05,S06,Furniture,250.33,10,4713.77,0,28.8,264.64,34
2022-10-06,S03,Furniture,207.09,10,1944.65,0,31.1,205.99,27
2022-10-07,S07,Clothing,457.8,20,2122.12,0,21.7,460.55,12
2022-10-08,S04,Electronics,131.22,10,3268.86,0,35.8,140.33,38
2022-10-09,S10,Sports,137.89,25,3064.35,0,11.1,126.11,19
2022-10-10,S02,Furniture,112.42,5,4360.42,0,19.3,122.7,53
2022-10-11,S09,Groceries,457.65,25,3061.57,0,15.7,495.65,16
2022-10-12,S08,Electronics,388.88,15,2384.63,0,28.2,373.98,15
2022-10-13,S06,Groceries,402.39,25,2400.5,0,33.5,435.73,19
2022-10-14,S07,Groceries,209.9,20,4334.02,0,30.8,189.59,20
2022-10-15,S09,Groceries,80.44,10,1227.09,0,26.0,76.35,18
2022-10-16,S03,Clothing,132.38,15,4835.89,0,28.0,132.13,38
2022-10-17,S01,Sports,361.56,15,1001.83,0,34.9,397.02,22
2022-10-18,S04,Electronics,21.74,0,4731.42,0,28.7,22.89,40
2022-10-19,S10,Furniture,355.05,0,1171.73,0,22.8,323.84,35
2022-10-20,S05,Electronics,331.35,0,132.4,0,25.4,299.0,21
2022-10-21,S02,Electronics,253.6,25,3402.76,0,32.6,274.38,16
2022-10-22,S06,Furniture,264.57,5,1040.47,0,24.7,281.25,24
2022-10-23,S02,Electronics,232.2,5,4952.14,0,16.3,240.75,49
2022-10-24,S07,Groceries,51.28,15,1948.13,0,23.3,52.68,19
2022-10-25,S10,Furniture,285.1,0,4484.48,0,35.7,269.69,45
2022-10-26,S06,Electronics,139.19,0,3453.7,0,17.9,140.39,40
2022-10-27,S02,Groceries,480.93,20,806.54,0,33.0,511.8,6
2022-10-28,S03,Electronics,85.41,5,2876.81,0,33.8,88.43,29
2022-10-29,S06,Sports,252.89,10,363.11,0,22.2,270.02,15
2022-10-30,S08,Clothing,385.66,20,2043.84,0,31.7,349.38,12
2022-10-31,S02,Sports,181.13,15,2216.05,0,29.0,186.95,36
2022-11-01,S07,Groceries,151.21,5,3594.23,1,12.3,140.75,36
2022-11-02,S05,Electronics,183.55,0,125.46,1,18.6,178.41,18
2022-11-03,S09,Electronics,70.59,5,2211.8,1,25.6,70.77,32
2022-11-04,S02,Sports,300.48,10,4332.22,1,10.3,295.3,37
2022-11-05,S08,Clothing,453.08,5,2902.61,1,14.7,442.27,37
2022-11-06,S06,Groceries,36.32,15,1452.21,1,18.4,38.37,20
2022-11-07,S07,Groceries,472.39,25,3162.67,1,26.6,443.63,19
2022-11-08,S10,Clothing,421.6,15,4039.97,1,19.2,407.66,32
2022-11-09,S05,Furniture,153.72,20,4741.67,1,15.6,148.01,41
2022-11-10,S06,Electronics,484.04,5,1696.84,0,17.8,511.71,25
2022-11-11,S08,Clothing,466.37,5,3001.91,0,25.3,483.32,23
2022-11-12,S07,Furniture,222.04,10,4173.28,0,11.9,237.48,32
2022-11-13,S10,Furniture,73.89,10,1285.9,0,28.4,77.07,21
2022-11-14,S09,Electronics,293.21,20,2582.4,0,35.8,304.45,16
2022-11-15,S04,Groceries,396.41,10,3538.01,0,32.7,403.85,34
2022-11-16,S07,Groceries,87.34,20,317.05,0,37.5,90.44,5
2022-11-17,S10,Clothing,483.03,15,619.13,0,12.8,456.17,12
2022-11-18,S03,Groceries,225.66,15,2369.01,0,29.0,234.25,15
2022-11-19,S03,Groceries,498.86,15,612.29,0,21.6,544.93,21
2022-11-20,S02,Furniture,159.39,15,3942.92,0,24.6,154.55,37
2022-11-21,S02,Clothing,362.39,15,1662.66,0,18.4,384.87,25
2022-11-22,S09,Furniture,465.31,25,1295.17,0,14.9,433.68,12
2022-11-23,S10,Clothing,479.44,5,4009.0,0,27.6,449.37,37
2022-11-24,S02,Sports,227.54,15,2005.3,0,29.7,214.15,15
2022-11-25,S09,Groceries,55.37,20,1016.1,0,19.1,54.9,9
2022-11-26,S08,Sports,300.5,20,2023.47,0,13.2,291.6,25
2022-11-27,S02,Clothing,90.4,25,3559.34,0,18.3,92.47,20
2022-11-28,S10,Clothing,156.16,5,1929.2,0,14.0,152.68,31
2022-11-29,S09,Clothing,289.53,15,1010.19,0,27.8,300.73,1
2022-11-30,S06,Electronics,247.37,5,1016.78,0,33.6,253.28,8
2022-12-01,S07,Furniture,244.88,5,4094.56,1,37.0,245.15,32
2022-12-02,S01,Groceries,246.91,0,2870.45,1,32.3,233.11,39
2022-12-03,S02,Sports,116.3,10,924.22,1,22.8,121.94,20
2022-12-04,S01,Furniture,61.53,20,4134.09,1,20.3,65.5,19
2022-12-05,S08,Groceries,275.44,15,601.84,1,33.2,289.29,7
2022-12-06,S04,Clothing,177.55,0,2251.44,1,37.8,187.34,54
2022-12-07,S04,Clothing,406.3,20,3476.75,1,34.1,415.26,16
2022-12-08,S06,Groceries,403.69,20,1819.0,1,17.9,406.82,17
2022-12-09,S07,Electronics,148.22,10,4766.75,1,24.4,160.08,39
2022-12-10,S06,Clothing,496.28,25,721.75,0,34.3,471.43,1
2022-12-11,S02,Electronics,381.93,25,2024.23,0,14.0,392.04,6
2022-12-12,S08,Groceries,204.41,25,1463.31,0,36.2,199.06,3
2022-12-13,S09,Furniture,293.07,25,556.39,0,37.2,300.97,1
2022-12-14,S05,Groceries,112.83,15,4141.75,0,23.9,108.83,21
2022-12-15,S02,Furniture,275.92,5,2874.1,0,23.6,267.3,33
2022-12-16,S04,Clothing,13.06,5,2262.3,0,10.0,14.26,29
2022-12-17,S06,Clothing,441.66,10,878.99,0,36.1,421.7,17
2022-12-18,S02,Electronics,30.63,25,1597.0,0,29.6,29.0,4
2022-12-19,S06,Electronics,5.54,15,481.9,0,26.6,5.56,11
2022-12-20,S02,Electronics,494.14,15,3500.75,0,23.4,467.35,27
2022-12-21,S03,Electronics,56.08,10,4416.85,0,13.8,59.15,37
2022-12-22,S04,Clothing,267.6,0,3090.56,0,14.6,259.64,37
2022-12-23,S10,Furniture,460.35,20,3464.17,0,34.1,422.3,29
2022-12-24,S02,Clothing,179.01,15,1641.07,0,13.9,171.02,23
2022-12-25,S05,Clothing,278.93,20,3633.78,0,18.0,303.55,32
2022-12-26,S04,Furniture,261.29,20,1024.37,0,21.0,268.93,11
2022-12-27,S06,Clothing,196.01,5,2547.95,0,26.6,197.12,47
2022-12-28,S08,Electronics,196.48,20,2162.23,0,25.3,183.62,13
2022-12-29,S05,Sports,13.26,0,167.59,0,16.0,14.38,30
2022-12-30,S10,Clothing,384.72,15,3538.87,0,12.3,387.53,26
2022-12-31,S10,Electronics,142.35,10,487.21,0,35.8,155.85,19
2023-01-01,S02,Furniture,158.53,15,3676.8,0,33.7,144.51,32
2023-01-02,S03,Electronics,62.41,20,3083.28,0,18.7,65.43,20
2023-01-03,S03,Groceries,86.1,10,2662.73,0,31.9,89.9,25
